repo,score
CleanroomMC/Fugue,2932.5
ThomasVitale/llm-apps-java-spring-ai,52.5
jinganix/guess,440.0
find-xposed-magisk/LSPatch,122.5
kittynode/kittynode,2112.5
walimorris/opensquare,30.0
elkasztano/juliafatou,30.0
Rigidity/offline-signer,37.5
DedicatedSoftwareDev/OAK-blockchain,30.0
VeteranSoftDev/Polkadot-origintrail-parachain,30.0
yiyuan9/abitoflink,277.5
talss89/sprout,582.5
spotlightishere/spotdj,30.0
bnkc/unpack,155.0
yongkangc/Solidity-Gas-Optimizoor,45.0
shenjinti/browserlify,30.0
malik672/open-stylus,112.5
JustAlittleWolf/ModDetectionPreventer,235.0
dnwwdwd/homieMatching,100.0
wen-community/wen-program-library,2037.5
VanOvermeire/rust-macros-book,30.0
MythicalCow/vayu,310.0
nidhoggfgg/rsille,60.0
tinted-theming/tinty,1467.5
UkoeHB/bevy_cobweb,122.5
jetty/jetty-examples,365.0
burukeYou/fast-retry,55.0
MercuryWorkshop/epoxy-tls,172.5
aarc-rs/aarc,135.0
Katana-Official/Meta,755.0
BreakingLead/blockworld,110.0
SuperioOne/nut_webgui,435.0
m0veax/tplink_m7350,222.5
mumbleskates/bilrost,930.0
LaurentMazare/mamba.rs,30.0
Lommix/bevy_aseprite_ultra,247.5
stackabletech/trino-lb,1247.5
txtx/txtx,2505.0
AdamISZ/aut-ct,707.5
0glabs/0g-storage-node,3697.5
StardustXR/kiara,75.0
Basillica/csv-grep,30.0
Shrecknt/snowstorm,42.5
Sirneij/cryptoflow,30.0
theelderbeever/kubectl-guardrails,162.5
vigimite/serverless-pipelines-in-rust,30.0
PoOnesNerfect/jlf,90.0
richardanaya/gbnf,42.5
MirnaGama/hospital-management-api,442.5
jkallio/pomodoro-cli,440.0
DJ-Raven/java-messenger,52.5
eric9n/Kun-peng,2217.5
linkdd/shipp,80.0
cryscan/web-rwkv-realweb,37.5
magnetophon/lamb-rs,520.0
swlkr/hyped,125.0
alekspickle/serde_default_utils,230.0
MehVahdJukaar/polytone,540.0
bonsairobo/bevy_metrics_dashboard,60.0
KDABLabs/cxx-qt-servo-webview,985.0
rhombusgg/rhombus,312.5
uprockcom/ido-protocol,30.0
QuState/PhastFT,622.5
Yanyutin753/refresh-gpt-chat,542.5
sphaerophoria/todo-fs,60.0
xdev-software/spring-data-eclipse-store,2357.5
gyroflow/gyroflow-plugins,225.0
Privoce/GenUI,132.5
fitzgen/safe-gc,37.5
adamperkowski/highlightos,645.0
javpower/easy-flv,75.0
lgdd/liferay-client-extensions-samples,37.5
AndrejOrsula/pyo3_bindgen,527.5
ethersync/ethersync,1885.0
vesavvo/design_patterns,30.0
buffdb/buffdb,192.5
DHD2280/BCR-Manager,562.5
vexide/vex-v5-qemu,735.0
zkVerify/zkVerify,1992.5
huggingface/ratchet,5522.5
algorealmInc/SwarmNL,267.5
OJarrisonn/vaca,650.0
lmorais-dev/qmachina,645.0
axelerator/ruelm,82.5
UPB-FILS-MA/upb-fils-ma.github.io,6842.5
craigmayhew/pipe-gpt,360.0
oldmanpushcart/qianfan4j,80.0
Cryolitia/GPD-LinuxControls,60.0
yoshuawuyts/wasm-http-tools,165.0
voidpumpkin/structural-convert,92.5
undermad/diet-generator-api,247.5
ryo33/egui_hooks,125.0
LyonSyonII/run,447.5
1brc/nodejs,52.5
utilForever/2024-Konkuk-Rust-Roguelike,150.0
PufferFinance/coral,552.5
guofei9987/hidden_watermark,42.5
ismael221/OpenStreamify,150.0
jts/smrest,105.0
jgraef/reqwest-websocket,387.5
timrogers/litra-rs,2052.5
containers/krunkit,347.5
3uild-3thos/valid8,102.5
BLaZeKiLL/webray,97.5
gwen-lg/subtile-ocr,200.0
VictorModi/Lyrics-Getter-Ext,230.0
viridia/bevy_reactor,167.5
microsoft/rust-symcrypt,1097.5
HeliosMinecraft/HeliosClient,80.0
uutils/procps,1402.5
OpenZeppelin/rust-contracts-stylus,3467.5
crust-gather/crust-gather,1402.5
solidquant/sandooo,272.5
hgaiser/moonshine,407.5
madesroches/micromegas,1902.5
Onizuka893/prayerbar,217.5
MathItYT/mathlikeanim-rs,277.5
danvega/fcc-spring-boot-3,42.5
igor-pcholkin/DataAnonymization,80.0
s00d/tauri-plugin-serialplugin,115.0
risc0/risc0-ethereum,3537.5
BigBoot/AutoKuma,630.0
geofmureithi/edita,232.5
Heltion/anti-hash,55.0
fasterthanlime/oval,320.0
dev-backpack/cllm,522.5
VeteranSoftDev/OAK-blockchain,30.0
0xlarry/byo_mint,247.5
sameh-tarek/Fawry-Internship,90.0
ark-network/clArk,175.0
mlund/ultimate64,372.5
pw-order-of-devs/rusty_ops,105.0
syurazo/cardputer,67.5
gamedolphin/speakwith,282.5
devyn/nu_plugin_dbus,425.0
worldcoin/mpc-uniqueness-check,1545.0
cavemanloverboy/sol,117.5
MobinaMhr/Compiler-Course-Projects-S2024,30.0
Apress/ChatGPT-for-Java,80.0
ch32-rs/ch32-data,165.0
helius-labs/atlas-txn-sender,400.0
exa04/cyma,250.0
