repo,score
University-of-London/CSM100-SDP-Spring-2023,30.0
sivaprasadreddy/spring-boot-opentelemetry-demo,102.5
lntricate1/SubTick,940.0
Ai2473/1.8.7-earthhack,192.5
linpeilie/easy-relation,90.0
eralp232/PerryPhobos-Latest,100.0
Rongmario/ImagineBreaker,75.0
WiIIiam278/PAPIProxyBridge,1000.0
YehiaFarghaly/database-engine,660.0
Prakash-Jha-Dev/SystemDesign,105.0
Shubh2-0/Shopzilla-Online-Shopping-Platform,180.0
FgForrest/evitaDB,8467.5
Gaming32/world-host,815.0
eclipse-basyx/basyx-java-server-sdk,3332.5
EtienneAb3d/karaok-AI,435.0
waimifeier/hikvision-spring-boot-starter,1822.5
woheller69/omweather,1802.5
5ec1cff/StethoX,37.5
Kas-tle/ProxyPass,2345.0
quarkiverse/quarkus-jnosql,857.5
Shubh2-0/JDBC-Practice,30.0
Shubh2-0/Video_Assignments_Topics,30.0
michael2to3/c2-search-netlas,340.0
Shubh2-0/Runnable_vs._Callable,30.0
JM-Lab/cli-genie,165.0
Herdo/keycloak-remember-me-authenticator,92.5
nats-io/jparse,1067.5
dragonwell-project/alibaba-dragonwell-security-provider,1010.0
Citegraph/citegraph,175.0
1stMarine/SpringbootOnlineJudgeSysteam,80.0
SAGESSE-CN/Armourers-Workshop-Plugin,410.0
oracle/graal-dev-kit,727.5
praveensirvi1212/DevSecOps-project,30.0
Java-Techie-jt/jwt-apigateway-security,62.5
NikitaCartes-archive/MinecraftDeobfuscated-Mojang,360.0
NikitaCartes-archive/MinecraftDeobfuscated-Yarn,450.0
danielsobrado/edgar-cik-cusip-ticker-sector-service,42.5
lyricnight/infinity,67.5
parttimenerd/dead-code-agent,45.0
frc1678/C2023-Public,30.0
MuhammetTahaDemiryol/rentacar-microservice,30.0
wtd768566360/openai-client,30.0
IllusionTheDev/Cosmos,332.5
SkyBlock-Central/SkyBlock-Core,400.0
FokiDoki/WireRest,970.0
NidhalNaffati/Secure-User-Platform-with-SpringBoot3-Vue-JWT,30.0
Walksy/WalksyCrystalOptimizer,587.5
FrankCYB/JavaGPT,817.5
trigram-mrp/fractureiser,682.5
FlorianMichael/fabric-imgui-example-mod,355.0
wouterh-dev/keycloak-spi-trusted-device,322.5
karatelabs/karate-examples,52.5
GoogleCloudPlatform/zetasql-toolkit,1062.5
ThinkingStudios/Litematica-Forge,3627.5
p4d0rn/Java_Zoo,30.0
Not-a-Tyler/AutoplayAddon,55.0
Bawnorton/Dynamic-Trim,770.0
PianoPenguin471/RavenWeave,657.5
IMB11/SkinShuffle,1482.5
EdgeMatrixChain/emc_java_sdk,30.0
anonymix007/ExtA2DP,742.5
clrxbl/NekoClient,37.5
faluhub/TwitchEmotes,945.0
Red-Studio-Ragnarok/Valkyrie,517.5
LostZX/vcenter_tool,80.0
orladigital/trivy-maven-plugin,542.5
novicezk/midjourney-proxy,817.5
abbos0123/Design-Patterns,30.0
HeatherComputer/AdvancedBackups,1120.0
apache/gravitino,27715.0
LoveNui/WebLogs-Analysis-System,30.0
idanlevi1/react-native-twitter-preview,105.0
MedetHasanUgurlu/rent-a-car-microservice,30.0
maciej-scratches/spring-boot-3.1-service-connection-demo,30.0
Innocentsax/Java_Pathway_and_Challenge,142.5
Rapter1990/qr-generator-example,30.0
bclozel/graphql-music,45.0
koply/pikap,247.5
TeamYouDown/YouDown,80.0
candlefinance/pow,530.0
spring-recipes/oreilly-live-training,180.0
Vinaykumarmahato/Algorithm-II-LeetCode,60.0
buenaflor/KFlogger,170.0
jayjlee29/gmarket-techblog-backend,105.0
Patbox/PhysicsToys,267.5
ngrok/ngrok-java,945.0
SatyaRajAwasth1/bloggingSite,95.0
coderatiiita/TLE-Eliminators,30.0
DarkSavci/Minecraft-Video-Player,130.0
dddadan/chat-gpt-wechat,307.5
Eric2i/CNCulturalRelicOnline,75.0
Gu-ZT/Curtain,1892.5
oracle-samples/modern-app-dev,585.0
quentin452/OptimizationsAndTweaks,11042.5
