repo,releases,pulls,open_issues,branches,workflows,has_release_workflow
fjall-rs/lsm-tree,33,20.0,20,4,2,False
Blockstream/lwk,1,42.0,3,293,4,True
polymorphicshade/Tubular,7,12.0,79,3,2,False
sentrysoftware/metricshub,7,256.0,27,17,3,False
rustls/rustls-openssl-compat,3,32.0,4,4,1,False
fineshopdesign/cf-wasm,93,32.0,2,2,5,False
StandardSolvers/ps-code-snippets,1,25.0,0,7,0,False
carldea/windowblur,0,0.0,1,1,0,False
nkuhn-vmw/GenAI-for-TPCF-Samples,0,7.0,0,1,0,False
javierEd/leptos-bulma,8,0.0,2,1,0,False
clockworklabs/spacetimedb-minecraft,0,1.0,0,7,0,False
aerius-labs/indexed-merkle-tree-halo2,0,1.0,0,2,0,False
PaperMC/SectorTool,4,0.0,1,1,0,False
Vixenka/bevy_dev,5,1.0,2,1,0,False
defi-wonderland/aztec-patterns,0,13.0,0,3,0,False
gmelodie/nesquic,0,0.0,0,1,0,False
rdbo/dynja,6,1.0,2,1,0,False
soundvibe/ha-danfoss,2,11.0,3,3,1,False
DragunWF/Student-Admissions,0,0.0,0,1,0,False
ycysdf/rxy_ui,0,6.0,0,5,0,False
codyd51/uefirc,2,1.0,6,1,0,False
tmknight/docker-autoheal,32,100.0,0,34,5,False
0xricksanchez/AFL_Runner,12,40.0,12,2,1,False
junelva/wl-gammarelay-applet,1,0.0,0,1,0,False
jasonjmcghee/plock,4,8.0,8,5,1,True
face-hh/subterfuge,0,5.0,7,1,0,False
SilinMeng0510/imgcatr,3,1.0,1,1,2,True
ImpossibleReality/Siffra,5,2.0,6,2,1,False
B-Rajagopalan/CodingAtti-YouTube,0,9.0,0,1,0,False
iMilchshake/gores-mapgen,3,15.0,0,12,2,True
reticivis-net/uwd2,1,0.0,3,1,0,False
Schr3da/gdext-rust-tutorials,0,0.0,0,1,0,False
mxpv/openusd,3,0.0,1,2,2,False
MincraftEinstein/SubtleEffects,0,4.0,7,2,0,False
TylerBloom/webatui,0,2.0,2,2,3,False
Rearth/Oritech,25,79.0,4,5,1,False
containers/crun-vm,6,42.0,19,7,2,False
IrreducibleOSS/binius,0,0.0,0,1,0,False
quarkiverse/quarkus-fx,4,65.0,4,3,5,True
codeIntrovert/90daysOfDSA,0,0.0,1,1,0,False
hirako2000/rustween,0,0.0,0,1,0,False
hardingadonis/saledock,10,113.0,0,2,3,False
cmu-db/15721-s24-cache1,0,47.0,17,10,1,False
DocAssert/doc-assert,0,40.0,3,4,1,False
aditya-dua/JBDL-65,0,0.0,0,1,0,False
frozolotl/typst-ansi-hl,2,4.0,0,1,1,False
rust-windowing/winit-next,0,3.0,1,2,0,False
flashbots/suave-andromeda-revm,0,18.0,2,4,0,False
funbiscuit/embedded-cli-rs,5,9.0,4,3,1,False
dfinity/canbench,5,66.0,4,8,3,False
charmy/react-native-stroke-text,11,3.0,3,1,1,False
4imothy/treegrep,5,4.0,1,1,2,True
RobertElderSoftware/robert-elder-software-java-modules,6,0.0,0,1,0,False
glehmann/yage,5,0.0,1,9,3,True
edgenai/edgen,5,83.0,23,8,3,False
qos-ch/logback-access,0,7.0,6,1,0,False
lokerxx/JavaVul,0,0.0,0,1,0,False
floris-xlx/supabase_rs,2,17.0,4,2,2,False
marsupialtail/rottnest,0,34.0,0,1,1,False
KidneyOS/KidneyOS,0,104.0,18,65,1,False
std-microblock/TGStickerProvider,0,3.0,13,1,1,False
jerryshell/ac-esp,3,0.0,0,1,0,False
SUPERCILEX/clipboard-history,21,2.0,12,1,1,False
BREAD5940/2024-Onseason,0,9.0,0,9,0,False
begcode/begcode-admin,0,0.0,1,1,0,False
bombsimon/awesome-garmin,0,26.0,0,1,2,False
biagioT/jpa-search-helper,31,2.0,2,1,2,False
dicej/isyswasfa,0,0.0,2,3,0,False
6tail/tyme4j,16,3.0,2,1,0,False
metaplex-foundation/mpl-core,10,179.0,9,35,10,False
uutils/util-linux,0,34.0,14,2,1,False
delcin-raj/rust_realm,0,6.0,1,1,0,False
kaychaks/autopack,1,0.0,6,1,2,True
cc-api/container-integrity-measurement-agent,2,86.0,2,5,10,False
thunderbird/xml-struct-rs,0,6.0,3,1,1,False
g33kex/ServerWitch,1,0.0,0,2,0,False
VaheDanielyan/diffdir,4,1.0,0,2,1,False
matklad/window,0,0.0,1,1,0,False
sasmithx/Chat_Application_Socket_Progrmming,0,0.0,0,1,0,False
miliariadnane/spring-boot-doc-rag-bot,0,0.0,0,1,0,False
OpenCubicChunks/CubicChunks3,0,32.0,8,1,2,False
w1th4d/JarPlant,0,12.0,0,1,0,False
MR-Addict/mdbook-embedify,13,0.0,0,2,2,True
gdanezis/sui-by-example,0,0.0,0,1,0,False
HaHaWTH/AdvancedSensitiveWords,4,3.0,0,6,1,False
sjrsjz/vulkanite-modified,1,0.0,1,1,1,False
PianoPrinter/gpui_win,0,0.0,0,1,0,False
ShafiqSadat/IPTVTelegramBot,1,0.0,0,1,0,False
gradlex-org/java-module-packaging,1,0.0,0,2,2,True
yobibyte/rtd,0,0.0,0,1,0,False
cameron-martin/bazel-lsp,11,46.0,8,5,1,False
ratatui/ratatui-macros,18,42.0,4,3,2,False
pkulak/filtile,4,1.0,1,1,1,True
Ralith/sieve-tree,0,7.0,4,2,0,False
traxys/pantheon,0,0.0,0,1,0,False
abhishekabhi789/LyricsForPowerAmp,11,2.0,2,1,0,False
ulagbulag/kiss-icp-rs,0,0.0,0,1,0,False
Jij-Inc/pyo3-stub-gen,11,57.0,17,4,4,True
fluxxcode/egui-file-dialog,9,184.0,5,2,1,False
PlasmaFAIR/fortitude,6,89.0,48,3,4,True
xu-shawn/Serendipity,6,141.0,0,372,0,False
Opa-/x1-mk1-usb2midi,2,0.0,3,2,1,False
pop-os/cosmic-files,0,257.0,207,1,0,False
JAgentSphere/bytebuddy-agent-demo,4,0.0,2,3,0,False
jasonjmcghee/xrem,0,3.0,8,4,0,False
swan-io/react-native-browser,9,7.0,1,1,1,False
Javabykiran-Angular/161_AdvancedJava,0,0.0,0,1,0,False
itome/flx,15,5.0,0,2,2,True
AbdelStark/majin-blob,0,8.0,0,2,2,False
twitchax/lucidity,1,0.0,0,1,1,False
supersurviveur/typst-math,8,1.0,2,1,2,False
wadackel/promptuity,5,15.0,1,7,2,False
Philogy/balls,0,4.0,6,1,1,False
Azkellas/mesh_to_sdf,5,12.0,0,9,3,False
geode-sdk/server,73,21.0,4,8,3,True
SaberVM/SaberVM,0,0.0,1,2,1,False
jvdwrf/axum-typed-routing,0,0.0,0,1,0,False
vbi-academy/rust-bootcamp-2024,0,0.0,11,1,0,False
habuma/spring-ai-rag-example,0,0.0,0,1,0,False
david-d-h/pipeop,0,1.0,0,2,0,False
joshka/ratatui-widgets,12,19.0,0,17,3,False
seifrajhi/Kubernetes-practical-exercises-Hands-on,0,41.0,0,76,19,False
0vercl0k/rp-bf.rs,3,2.0,0,1,1,False
Ekleog/indexed-db,0,3.0,0,2,1,False
ricott1/rebels-in-the-sky,26,6.0,3,2,1,True
cia-labs/Storage-service,1,34.0,16,2,2,False
kafbat/kafka-ui,1,190.0,145,51,30,True
BreweryTeam/BreweryX,35,31.0,14,6,2,False
gnosis/solvers,45,90.0,0,42,4,True
mt1006/mc-ar-mod,1,0.0,5,3,0,False
richardanaya/epistemology,6,0.0,0,1,1,False
daylanbueno/auth-api,0,0.0,0,2,0,False
nvim-neorg/norg-fmt,0,0.0,0,1,0,False
PoOnesNerfect/bevy_bsml,0,3.0,0,14,0,False
Fernanda-Kipper/desafio-anotaai-backend,0,5.0,0,2,0,False
sniper00/moon_rs,0,0.0,0,1,1,False
wisp-forest/accessories,6,14.0,21,4,0,False
Naton1/osrs-pvp-reinforcement-learning,0,0.0,0,1,1,False
simasch/cqrs-meets-modern-java,0,0.0,0,2,0,False
next-rs/next-rs,0,14.0,1,4,1,False
sphaerophoria/termie,0,0.0,0,2,0,False
charlotte-os/charlotte-core,0,112.0,6,21,3,False
ArtformGames/BungeeAuthProxy,5,0.0,0,1,2,True
zolutal/kheap_sift,0,0.0,3,1,0,False
tun2proxy/socks-hub,11,0.0,0,1,2,True
yuoo655/ext4_rs,0,1.0,0,5,0,False
bkettle/message-book,0,1.0,2,1,0,False
privacy-scaling-explorations/greco,0,10.0,7,3,1,False
SMGCommunity/Whitehole-Neo,8,2.0,21,1,0,False
brenoepics/at4j,4,48.0,2,8,5,True
regolith-labs/ore,0,69.0,31,6,0,False
isala404/scale-to-zero-ebpf,0,0.0,0,1,0,False
dexie-space/splash,11,18.0,1,2,1,False
vaginessa/NPatch,0,0.0,0,1,2,False
Missuo0o/FoodDeliveryBackend,0,0.0,0,1,0,False
psqlpy-python/psqlpy,50,72.0,10,11,3,True
vnghia/nghe,24,193.0,2,7,3,True
SevenTV/SevenTV,0,100.0,17,6,1,False
bevyengine/bevy_editor_prototypes,0,110.0,27,9,4,True
igneous-labs/sanctum-lst-list,0,109.0,1,49,1,False
pop-os/cosmic-player,0,11.0,8,2,0,False
every-day-things/citadel,4,31.0,13,6,2,False
Fuzzyzilla/octotablet,1,4.0,6,2,0,False
nvim-neorocks/rocks,0,152.0,34,8,4,False
hashlookup/poppy,0,7.0,1,2,2,True
mitre-public/open-aria,1,36.0,11,2,1,False
N1nn1/dye_depot,0,9.0,37,2,1,False
CCBlueX/liquidbounce_lite,0,1.0,0,2,0,False
joshka/tui-scrollview,15,21.0,0,5,3,False
wudgaby/wudgaby-platform,0,0.0,0,1,0,False
olivierlemasle/tauri-plugin-python,0,9.0,3,1,5,False
microcks/microcks-testcontainers-java-spring-demo,0,12.0,0,6,2,False
silence-laboratories/silent-shard-dkls23-ll,2,21.0,1,19,3,True
jadonharsh109/IaC-Master-Actions,0,71.0,0,1,3,False
WindySha/tetris,8,0.0,0,2,1,True
VovaStelmashchuk/nest2D,2,3.0,1,2,2,True
nipafx/modern-java-demo,0,0.0,0,1,0,False
deltadevsde/indexed-merkle-tree,1,10.0,6,10,1,False
boxbeam/untwine,0,0.0,0,2,0,False
shuo-young/lydia,1,0.0,0,1,2,True
hyperledger/indy-besu,0,36.0,2,18,1,False
Anof-cyber/AlphaScan,0,0.0,0,1,2,False
jwdeveloper/TikTokLiveRust,0,15.0,0,1,1,False
SimonCW/ollama-rag-rs,0,2.0,0,3,0,False
aurora-is-near/aurora-forwarder-contracts,0,24.0,0,22,1,False
HrikB/createXcrunch,0,5.0,2,1,1,False
LaurentMazare/tboard-rs,0,0.0,0,1,1,False
pubky/pkdns,13,19.0,5,4,0,False
AdrenaFoundation/sablier,6,66.0,8,8,2,False
turbofuro/turbofuro,22,32.0,18,1,3,True
PawelBis/bevy_wry,0,0.0,0,2,1,False
tfachmann/typst-as-library,0,2.0,3,1,0,False
seregamorph/spring-test-smart-context,4,8.0,0,4,0,False
