repo,score
jetty/jetty-examples,605.0
txtx/txtx,2610.0
UkoeHB/bevy_cobweb,122.5
MercuryWorkshop/epoxy-tls,172.5
JustAlittleWolf/ModDetectionPreventer,242.5
SuperioOne/nut_webgui,405.0
Lommix/bevy_aseprite_ultra,247.5
Katana-Official/Meta,817.5
shenjinti/browserlify,30.0
0glabs/0g-storage-node,3432.5
Sirneij/cryptoflow,30.0
theelderbeever/kubectl-guardrails,162.5
vigimite/serverless-pipelines-in-rust,30.0
richardanaya/gbnf,42.5
MirnaGama/hospital-management-api,442.5
DJ-Raven/java-messenger,52.5
linkdd/shipp,80.0
swlkr/hyped,125.0
stuetzlec/merrimack_cs_examples,30.0
sphaerophoria/todo-fs,60.0
KDABLabs/cxx-qt-servo-webview,985.0
fitzgen/safe-gc,37.5
DHD2280/BCR-Manager,570.0
lgdd/liferay-client-extensions-samples,37.5
olekspickle/serde_default_utils,230.0
Yanyutin753/refresh-gpt-chat,542.5
javpower/easy-flv,87.5
AndrejOrsula/pyo3_bindgen,467.5
jkallio/pomodoro-cli,440.0
Privoce/GenUI,132.5
vexide/vex-v5-qemu,735.0
QuState/PhastFT,622.5
adamperkowski/highlightos,645.0
gyroflow/gyroflow-plugins,262.5
ethersync/ethersync,1987.5
KarinJS/QwQ,45.0
eric9n/Kun-peng,2217.5
xdev-software/spring-data-eclipse-store,2237.5
huggingface/ratchet,5712.5
MehVahdJukaar/polytone,540.0
zkVerify/zkVerify,2085.0
vesavvo/design_patterns,30.0
OJarrisonn/vaca,650.0
lmorais-dev/qmachina,645.0
SUDHARSUN2003/Accident-Detection-And-Notification,30.0
craigmayhew/pipe-gpt,360.0
oldmanpushcart/qianfan4j,80.0
Cryolitia/GPD-LinuxControls,60.0
axelerator/ruelm,82.5
BLaZeKiLL/webray,97.5
microsoft/rust-symcrypt,1097.5
hgaiser/moonshine,407.5
Onizuka893/prayerbar,217.5
LyonSyonII/run,447.5
yoshuawuyts/wasm-http-tools,165.0
algorealmInc/SwarmNL,267.5
igor-pcholkin/DataAnonymization,80.0
ismael221/OpenStreamify,150.0
yuja/hhkb-studio-tools,30.0
1brc/nodejs,52.5
madesroches/micromegas,1955.0
geofmureithi/edita,232.5
guofei9987/hidden_watermark,42.5
viridia/bevy_reactor,167.5
ryo33/egui_hooks,125.0
BigBoot/AutoKuma,692.5
crust-gather/crust-gather,1462.5
timrogers/litra-rs,2090.0
solidquant/sandooo,272.5
uutils/procps,1260.0
fasterthanlime/oval,320.0
VeteranSoftDev/OAK-blockchain,30.0
0xlarry/byo_mint,247.5
sameh-tarek/Fawry-Internship,90.0
ark-network/clArk,175.0
mlund/ultimate64,372.5
ZK-Hack/puzzle-gamma-ray,30.0
cavemanloverboy/sol,117.5
distributed-lab/taprootized-atomic-swaps,152.5
bones-ai/rust-ecosystem-simulation,37.5
devyn/nu_plugin_dbus,482.5
bluenote-1577/fairy,355.0
helius-labs/atlas-txn-sender,400.0
xielong/ai-hub,42.5
bltavares/axum-content-negotiation,67.5
integritychain/fips203,272.5
B-urb/doclytics,6635.0
syurazo/cardputer,67.5
worldcoin/mpc-uniqueness-check,1732.5
Apress/ChatGPT-for-Java,80.0
calebfletcher/foc,180.0
CASELOAD7000/knockback-sync,600.0
dev-backpack/cllm,522.5
ch32-rs/ch32-data,172.5
robertknight/ocrs,837.5
Proxtx/crontab_status,30.0
nabbisen/mdka-rs,2752.5
jnhyatt/bevy_mod_async,177.5
0xPolygonZero/eth-tx-proof,685.0
orca-so/whirlpool-cpi,255.0
0xBoji/180DaysOfRust,30.0
maxprogrammer007/CSES.fi-problems,30.0
AdinAck/cargo-embassy,395.0
freethinkel/tauri-nspopover-plugin,72.5
PacktPublishing/Rust-Web-Programming-3E,142.5
LelsersLasers/UnderwaterWorld,112.5
yashwanthsinghm/shakti_riscv_hal,67.5
0xsouravm/csvr,130.0
phy1um/rust-simple-vm,397.5
sviperll/result4j,132.5
hadasz/plonkish_basefold,132.5
gaucho-labs/leptos-hotkeys,1747.5
YuhanLiin/micropb,50.0
IamTheCarl/CommandCAD,210.0
jakzo/Il2CppDecompiler,42.5
DeadlockCode/n-body,30.0
software-mansion/cairo-profiler,1467.5
Poempoat/LimboEmulatorPlus,362.5
AkshathSai/streamspace,927.5
alegian/thaumcraft7,67.5
bedrock-crustaceans/violinrs,30.0
cloudflare/foundations,1100.0
bobobo1618/ninesleep,145.0
wez/govee2mqtt,1932.5
apache/datafusion-comet,7187.5
koupleless/koupleless,3042.5
axodotdev/axoupdater,2755.0
wch2019/xiaohai-blog,60.0
project-gauntlet/gauntlet,852.5
js2xxx/ferroc,80.0
waboke/calculator_app_java,750.0
d1tto/Rengar,42.5
virtee/tdx,97.5
easystartup-io/k3s-simplified,837.5
conradludgate/measured,240.0
palerdot/wordl-rs,517.5
mtb0x1/1brc,30.0
cubk1/vapev3-opensource,42.5
Kapsyloffer/RUSTBU,675.0
antlr/antlr5,547.5
danvega/rest-client-examples,42.5
chirpstack/chirpstack-gateway-mesh,297.5
