repo,score
SuperioOne/nut_webgui,435.0
wen-community/wen-program-library,2037.5
MythicalCow/vayu,310.0
Katana-Official/Meta,755.0
BreakingLead/blockworld,110.0
0glabs/0g-storage-node,3372.5
tinted-theming/tinty,1530.0
UkoeHB/bevy_cobweb,122.5
MercuryWorkshop/epoxy-tls,172.5
Sirneij/cryptoflow,30.0
theelderbeever/kubectl-guardrails,162.5
vigimite/serverless-pipelines-in-rust,30.0
richardanaya/gbnf,42.5
MirnaGama/hospital-management-api,442.5
jkallio/pomodoro-cli,440.0
DJ-Raven/java-messenger,52.5
linkdd/shipp,80.0
swlkr/hyped,125.0
MehVahdJukaar/polytone,527.5
sphaerophoria/todo-fs,60.0
vesavvo/design_patterns,30.0
vexide/vex-v5-qemu,735.0
KDABLabs/cxx-qt-servo-webview,985.0
fitzgen/safe-gc,37.5
DHD2280/BCR-Manager,562.5
QuState/PhastFT,622.5
lgdd/liferay-client-extensions-samples,37.5
olekspickle/serde_default_utils,230.0
gyroflow/gyroflow-plugins,262.5
Yanyutin753/refresh-gpt-chat,542.5
javpower/easy-flv,75.0
Privoce/GenUI,132.5
ethersync/ethersync,1950.0
huggingface/ratchet,5700.0
xdev-software/spring-data-eclipse-store,2342.5
adamperkowski/highlightos,645.0
zkVerify/zkVerify,2032.5
AndrejOrsula/pyo3_bindgen,467.5
eric9n/Kun-peng,2217.5
OJarrisonn/vaca,650.0
lmorais-dev/qmachina,645.0
craigmayhew/pipe-gpt,360.0
oldmanpushcart/qianfan4j,80.0
Cryolitia/GPD-LinuxControls,60.0
axelerator/ruelm,82.5
BLaZeKiLL/webray,97.5
microsoft/rust-symcrypt,1097.5
hgaiser/moonshine,407.5
Onizuka893/prayerbar,217.5
LyonSyonII/run,447.5
yoshuawuyts/wasm-http-tools,165.0
geofmureithi/edita,232.5
algorealmInc/SwarmNL,267.5
viridia/bevy_reactor,167.5
guofei9987/hidden_watermark,42.5
madesroches/micromegas,1947.5
uutils/procps,1290.0
BigBoot/AutoKuma,680.0
ryo33/egui_hooks,125.0
timrogers/litra-rs,2142.5
1brc/nodejs,52.5
ismael221/OpenStreamify,150.0
solidquant/sandooo,272.5
igor-pcholkin/DataAnonymization,80.0
crust-gather/crust-gather,1455.0
fasterthanlime/oval,320.0
dev-backpack/cllm,522.5
VeteranSoftDev/OAK-blockchain,30.0
0xlarry/byo_mint,247.5
sameh-tarek/Fawry-Internship,90.0
ark-network/clArk,175.0
mlund/ultimate64,372.5
cavemanloverboy/sol,117.5
ch32-rs/ch32-data,165.0
distributed-lab/taprootized-atomic-swaps,152.5
bones-ai/rust-ecosystem-simulation,37.5
devyn/nu_plugin_dbus,482.5
syurazo/cardputer,67.5
bluenote-1577/fairy,355.0
helius-labs/atlas-txn-sender,400.0
xielong/ai-hub,42.5
bltavares/axum-content-negotiation,67.5
worldcoin/mpc-uniqueness-check,1597.5
B-urb/doclytics,6605.0
Apress/ChatGPT-for-Java,80.0
calebfletcher/foc,180.0
robertknight/ocrs,717.5
CASELOAD7000/knockback-sync,600.0
Proxtx/crontab_status,30.0
nabbisen/mdka-rs,2752.5
jnhyatt/bevy_mod_async,177.5
0xPolygonZero/eth-tx-proof,685.0
orca-so/whirlpool-cpi,255.0
0xBoji/180DaysOfRust,30.0
gaucho-labs/leptos-hotkeys,1747.5
AdinAck/cargo-embassy,382.5
freethinkel/tauri-nspopover-plugin,72.5
YuhanLiin/micropb,50.0
jakzo/Il2CppDecompiler,42.5
AkshathSai/streamspace,777.5
software-mansion/cairo-profiler,1377.5
LelsersLasers/UnderwaterWorld,112.5
yashwanthsinghm/shakti_riscv_hal,67.5
0xsouravm/csvr,130.0
wch2019/xiaohai-blog,60.0
js2xxx/ferroc,80.0
axodotdev/axoupdater,2645.0
IamTheCarl/CommandCAD,210.0
bedrock-crustaceans/violinrs,30.0
phy1um/rust-simple-vm,397.5
Poempoat/LimboEmulatorPlus,362.5
apache/datafusion-comet,7182.5
cloudflare/foundations,1100.0
project-gauntlet/gauntlet,822.5
bobobo1618/ninesleep,145.0
wez/govee2mqtt,1820.0
alegian/thaumcraft7,37.5
hadasz/plonkish_basefold,132.5
koupleless/koupleless,3055.0
d1tto/Rengar,42.5
virtee/tdx,97.5
easystartup-io/k3s-simplified,837.5
conradludgate/measured,240.0
palerdot/wordl-rs,517.5
mtb0x1/1brc,30.0
Kapsyloffer/RUSTBU,675.0
antlr/antlr5,547.5
danvega/rest-client-examples,42.5
renpenguin/display3d,30.0
Qiskit/openqasm3_parser,2705.0
chirpstack/chirpstack-gateway-mesh,297.5
MortalreminderPT/edit-xlsx,225.0
xfactor-toml/rust-coding-challenges,472.5
ethereumdegen/bevy_mesh_terrain_editor,180.0
chensheng/ddd-boot,30.0
SpeckyYT/gd_sfx,365.0
brickadia/p4-fast-reconcile,160.0
SpriteOvO/closely,1040.0
LemmyNet/lemmy-client-rs,582.5
luisbedoia/sx3d,37.5
tingerrr/typst-test,357.5
Kamesuta/BungeePteroPower,625.0
