repo,releases,pulls,open_issues,branches,workflows,has_release_workflow,tests
VictorModi/Lyrics-Getter-Ext,1,10.0,6,1,1,0,0.0
valkey-io/valkey-java,2,2.0,0,5,2,0,4013.0
MoeStick/Polar-client,1,0.0,0,1,0,0,0.0
igor-pcholkin/DataAnonymization,1,0.0,0,1,0,0,48.0
Araykal/Open-Karhu,2,1.0,0,1,0,0,0.0
SleepyFish-YT/Nemui,2,0.0,8,1,0,0,0.0
HeliosMinecraft/HeliosClient,1,0.0,0,1,1,0,0.0
apache/doris-kafka-connector,2,46.0,2,2,4,0,13.0
EasyDarwin/EasyGBD,0,0.0,0,1,0,0,3.0
mc-wiki/minecraft-mod-heywiki,45,36.0,3,7,2,1,0.0
danvega/fcc-spring-boot-3,0,0.0,1,1,0,0,25.0
vishalmysore/sam,0,0.0,1,1,1,0,0.0
jwplayer/jwplayer-react-native,4,49.0,22,6,0,0,0.0
palantir/javapoet,6,122.0,5,7,0,0,371.0
koupleless/runtime,21,222.0,3,4,10,0,187.0
gtrxAC/discord-j2me,12,55.0,2,5,0,0,0.0
openfga/spring-boot-starter,1,33.0,4,9,3,0,4.0
SemyonSinchenko/spark-connect-example,0,0.0,1,1,0,0,1.0
Aishwaryavenkat10/TestNG-Project,0,3.0,0,1,0,0,2.0
sameh-tarek/Fawry-Internship,0,4.0,0,2,0,0,16.0
marcos-dev79/AlgorithmsStudies,0,0.0,0,1,0,0,0.0
MYethishwar/JavaLabCraft,0,2.0,0,1,0,0,0.0
guybedo/sugar,0,1.0,0,2,0,0,1.0
MobinaMhr/Compiler-Course-Projects-S2024,0,0.0,0,1,0,0,0.0
Apress/ChatGPT-for-Java,1,0.0,0,1,0,0,0.0
houbb/minicat,0,0.0,0,8,0,0,0.0
hssy252/sky,0,0.0,0,1,0,0,0.0
anuragts/tangerine,0,6.0,1,1,0,0,0.0
CASELOAD7000/knockback-sync,3,19.0,3,9,0,0,0.0
xielong/ai-hub,0,0.0,1,1,0,0,0.0
oldmanpushcart/dashscope4j,7,8.0,3,3,0,0,45.0
NovaEngineering-Source/StellarCore,13,2.0,7,1,1,0,0.0
LxxxSec/CTF-Java-Gadget,1,0.0,0,1,0,0,0.0
EmbarkXOfficial/spring-boot-course,0,0.0,0,2,0,0,0.0
Tvenus/blockchain,0,0.0,0,1,0,0,0.0
jdubois/jdubois-langchain4j-demo,0,3.0,0,4,0,0,0.0
offici5l/MiBypassTool,3,0.0,3,1,2,0,0.0
ThomasOM/Dusk,0,2.0,0,3,0,0,12.0
HaHaWTH/HAProxy-Detector,1,0.0,0,1,1,0,0.0
ryuu9505/spring-pokemon-center,0,0.0,0,1,0,0,13.0
Gary-yang1/JYso,0,0.0,0,1,0,0,0.0
theodo-fintech/spring-data-event,0,4.0,1,3,1,0,15.0
AkashKobal/java-full-stack-developement,1,23.0,0,23,2,0,0.0
advent-of-craft/2024-summer-craft-book,0,0.0,0,1,0,0,22.0
dzaima/grr,0,0.0,0,1,0,0,0.0
Nova-Committee/CheatDetector,41,9.0,9,2,1,0,0.0
chengenzhao/java-vulkan-mac,0,0.0,0,1,0,0,0.0
Poempoat/LimboEmulatorPlus,5,1.0,6,1,0,0,0.0
wch2019/xiaohai-blog,0,0.0,0,2,0,0,0.0
gyuwon/ArchitecturalRunwayGuidelines,0,1.0,0,2,0,0,0.0
AkshathSai/streamspace,10,33.0,0,6,1,0,0.0
BeiShanair/tutorialmod-1.20,0,0.0,0,36,1,0,0.0
sviperll/result4j,2,10.0,1,2,1,0,14.0
jakzo/Il2CppDecompiler,0,0.0,1,1,0,0,0.0
MoeStick/Skyblock-Extras,1,0.0,0,1,0,0,0.0
Keksuccino/Linguji,6,0.0,5,1,0,0,0.0
gama-platform/gama,2,71.0,95,17,16,0,0.0
ollama4j/ollama4j-web-ui,4,4.0,1,1,1,1,0.0
KasugaLibGroup/KasugaLib,27,16.0,2,16,2,0,0.0
dRAGon-Okinawa/dRAGon,6,187.0,19,14,2,0,89.0
asdflj/AE2Things,25,27.0,0,2,2,1,0.0
alegian/thaumcraft7,0,1.0,0,2,1,0,0.0
koupleless/koupleless,19,90.0,82,16,1,0,0.0
waboke/calculator_app_java,0,54.0,43,2,0,0,0.0
jagodevreede/sdkman-ui,9,7.0,6,3,3,0,17.0
ourfor/iPlay,14,304.0,16,2,1,0,0.0
Swapnikavinukonda/java_files,0,9.0,0,4,0,0,0.0
blumek/aura-tower,0,0.0,0,1,0,0,0.0
renmeijian/HealthChecker,0,1.0,0,1,0,0,0.0
easystartup-io/k3s-simplified,16,1.0,0,1,3,0,0.0
armankhondker/leetcode-solutions,0,0.0,0,1,0,0,0.0
mmd-nemati/Compiler-Course-Projects-F2023,0,0.0,0,1,0,0,0.0
antlr/antlr5,0,33.0,12,5,1,0,4.0
EladLeev/KeyToField-smt,2,3.0,1,8,2,1,7.0
Kamesuta/BungeePteroPower,9,8.0,2,3,0,0,0.0
MrCrayfish/MrCrayfishFurnitureMod-Refurbished,0,16.0,23,10,4,0,0.0
aliyun/dataworks-spec,0,14.0,2,25,1,0,149.0
danvega/rest-client-examples,0,0.0,1,1,0,0,2.0
AvarionMC/graves,6,32.0,6,3,2,0,0.0
danvega/spring-common-mistakes,0,0.0,1,11,0,0,0.0
ndancing/bitcask,0,0.0,0,1,0,0,15.0
z64a/star-rod,3,3.0,7,1,2,1,0.0
reivaxy/kinetix,11,0.0,16,1,0,0,2.0
TharunPerera/Fish-Aquarium-Management-System,0,0.0,0,1,0,0,0.0
karthikreddy-7/TCS-NQT-CODING-SHEET,0,11.0,0,3,0,0,0.0
brian7704/OpenTAK_ICU,11,1.0,6,3,0,0,2.0
d1tto/Rengar,0,0.0,1,1,0,0,0.0
Direwolf20-MC/JustDireThings,0,66.0,29,2,1,0,0.0
alina-yur/native-spring-ai,0,0.0,0,1,0,0,0.0
thesurlydev/spring-ai-collab,0,1.0,3,1,0,0,7.0
Lord-of-Algorithms/DSA-in-Java,0,0.0,0,1,0,0,0.0
cubk1/vapev3-opensource,0,0.0,1,1,0,0,0.0
TFyre/bambu-farm,14,13.0,35,3,1,0,0.0
headlesshq/mc-runtime-test,10,23.0,12,5,5,0,0.0
chensheng/ddd-boot,0,0.0,0,1,0,0,5.0
oguzkaran/JavaApp2-Jan-2024,0,0.0,0,1,0,0,85.0
Jumman04/DataManager,9,0.0,0,1,0,0,0.0
tarihub/hack-flank-cicd,1,7.0,1,2,1,0,0.0
H3Art-q/JNU-IS-CST-Courses,0,0.0,0,1,0,0,0.0
WMS-DEV/usos4j,7,16.0,0,2,8,0,138.0
user93390/seasnail1,10,4.0,0,1,0,0,0.0
maveniverse/toolbox,50,79.0,3,5,1,0,40.0
Rozmir-Rohi/mo-creatures-legacy,1,24.0,2,1,1,0,0.0
bsorrentino/langgraph4j,14,3.0,9,2,3,0,59.0
coralblocks/CoralProto,0,0.0,0,1,0,0,23.0
sidduganeshsid/Core-Java,0,1.0,0,2,0,0,0.0
cezarysanecki/parking-domain,0,169.0,1,3,1,0,15.0
JaneMandy/CVE-2023-51467-Exploit,1,0.0,0,1,0,0,0.0
Fernanda-Kipper/ai-assistant-java,0,0.0,0,1,0,0,0.0
zhushimmer/enhance-rpc-zt,0,0.0,0,1,0,0,0.0
SandhyaMadhunagula/Javalab,0,1.0,0,2,0,0,0.0
naveenanimation20/SeleniumKeywordDrivenFramework,1,0.0,0,1,1,0,3.0
Trendyol/kafkathena-jakarta,1,0.0,0,1,2,0,13.0
google-checks/checks-jenkins-plugin,0,0.0,0,6,1,0,7.0
evpl/jkscope,5,0.0,0,1,1,0,247.0
