repo,releases,pulls,open_issues,branches,workflows,has_release_workflow,w_simplicity,tests
Rapter1990/parkinglot,0,20.0,0,1,1,0.0,-0.9,106.0
stephanj/BM25,0,2.0,0,3,0,0.0,1.0,11.0
erupts/Linq.J,5,7.0,0,2,0,0.0,1.0,30.0
sisby-folk/surveyor,102,3.0,23,3,1,0.0,-0.9,0.0
ImKennyYip/flappy-bird-java,0,0.0,0,1,0,0.0,1.0,0.0
cezarysanecki/parking-domain,0,169.0,1,3,1,0.0,-0.9,15.0
AndroidIDE-CN/AIDE-Plus,10,1.0,0,7,0,0.0,1.0,0.0
Pulikovskyy/fixitnow,0,0.0,0,1,0,0.0,1.0,0.0
liubingmx/fast-spring-test,6,0.0,0,1,0,0.0,1.0,7.0
jimmyjames/fga-spring-examples,0,11.0,5,2,1,0.0,-0.65,14.0
GaoSSR/OnePRO,0,0.0,0,1,0,0.0,1.0,0.0
anonymous123-code/quilt-bisect,5,6.0,2,4,2,0.0,-3.7,0.0
drcircuit/wchhack,0,1.0,1,1,0,0.0,1.0,0.0
mitang0320/leetcodeHot100,0,0.0,0,1,0,0.0,1.0,0.0
mariofusco/quarkus-drools-llm,0,3.0,0,5,0,0.0,1.0,0.0
yaaliuzhipeng/fast-mlkit-translate-text,0,0.0,1,1,1,0.0,-2.5,0.0
segment-anything-models-java/SAMJ-IJ,0,10.0,11,2,1,1.0,-0.75,0.0
tomalbrc/blockbench-import-library,5,0.0,1,8,1,0.0,-0.9,0.0
afsalashyana/Spring-Boot-Tutorials,0,1.0,0,1,0,0.0,1.0,16.0
burukeYou/spring-smart-di,0,0.0,1,1,0,0.0,1.0,0.0
Divested-Mobile/Carrion,0,5.0,2,1,0,0.0,1.0,0.0
Kehrlann/spring-boot-testing,0,0.0,0,4,0,0.0,1.0,14.0
Incendo/cloud-minecraft,10,33.0,7,8,1,1.0,-1.5,29.0
sentrysoftware/metricshub,8,270.0,17,16,3,0.0,-7.6,1170.0
dumbo-the-developer/Duels,11,11.0,20,1,1,0.0,-0.65,0.0
polymorphicshade/Tubular,7,12.0,80,3,2,0.0,-2.7,63.0
StandardSolvers/ps-code-snippets,1,25.0,0,7,0,0.0,1.0,7.0
longerye/im-chat,0,1.0,0,4,0,0.0,1.0,0.0
sayxiaoyan/XiaoRanLiu3119-TVBoxMobile,0,0.0,0,2,1,0.0,-0.65,0.0
spring-tips/spring-authorization-server,0,0.0,1,1,0,0.0,1.0,0.0
DragunWF/Student-Admissions,0,0.0,0,1,0,0.0,1.0,0.0
PaperMC/SectorTool,4,0.0,1,1,0,0.0,1.0,0.0
CompassSecurity/jwt-scanner,5,3.0,2,4,0,0.0,1.0,0.0
B-Rajagopalan/CodingAtti-YouTube,0,9.0,0,1,0,0.0,1.0,0.0
nkuhn-vmw/GenAI-for-TPCF-Samples,0,7.0,0,1,0,0.0,1.0,0.0
soundvibe/ha-danfoss,2,11.0,5,3,1,0.0,-0.4,4.0
aws/amazon-gamelift-agent,4,11.0,6,4,1,0.0,-0.4,338.0
MincraftEinstein/SubtleEffects,0,4.0,9,2,0,0.0,1.0,0.0
ColdeZhang/Dominion,61,11.0,8,5,3,1.0,-4.85,0.0
eclipse-tracecompass/org.eclipse.tracecompass,0,171.0,11,46,4,0.0,-2.8,3054.0
quarkiverse/quarkus-fx,4,65.0,4,3,5,1.0,-4.45,8.0
Rearth/Oritech,29,94.0,11,6,1,0.0,-1.15,0.0
shmuelzon/home-assistant-floor-plan,18,60.0,8,1,1,0.0,-0.9,0.0
hardingadonis/saledock,10,113.0,0,2,3,0.0,-4.2,0.0
aditya-dua/JBDL-65,0,0.0,0,1,0,0.0,1.0,4.0
yubb-ai/unofficial-gpt4,10,0.0,0,1,3,0.0,-6.95,0.0
TiagoFar78/PrisonEscape,2,143.0,13,1,1,0.0,-1.0,0.0
AllayMC/EncryptMyPack,1,1.0,2,1,1,0.0,-1.1,0.0
BREAD5940/2024-Onseason,0,9.0,0,9,0,0.0,1.0,0.0
charmy/react-native-stroke-text,11,3.0,4,1,1,0.0,-0.65,0.0
bowbahdoe/jdbc,15,2.0,0,1,2,1.0,-1.8,26.0
biagioT/jpa-search-helper,32,2.0,2,1,2,0.0,-2.45,68.0
6tail/tyme4j,17,3.0,4,1,0,0.0,1.0,334.0
begcode/begcode-admin,0,0.0,1,1,0,0.0,1.0,2044.0
ChloePrime/AAAParticles,18,8.0,11,5,0,0.0,1.0,0.0
codeaashu/JAVA-Programming-Challenge,0,0.0,0,1,0,0.0,1.0,0.0
codeIntrovert/90daysOfDSA,0,0.0,0,1,0,0.0,1.0,0.0
lokerxx/JavaVul,0,0.0,0,1,0,0.0,1.0,0.0
std-microblock/TGStickerProvider,0,3.0,14,1,1,0.0,-0.65,0.0
RobertElderSoftware/robert-elder-software-java-modules,6,0.0,0,1,0,0.0,1.0,0.0
qos-ch/logback-access,0,7.0,6,1,0,0.0,1.0,59.0
darksolopic/PasswordManagerGUI,0,0.0,0,1,0,0.0,1.0,0.0
Javabykiran-Angular/161_AdvancedJava,0,0.0,0,1,0,0.0,1.0,0.0
bennamrouche/irc-tester,0,2.0,0,2,0,0.0,1.0,0.0
gradlex-org/java-module-packaging,1,0.0,0,2,2,1.0,-2.3,0.0
swan-io/react-native-browser,9,7.0,1,1,1,0.0,-0.65,0.0
3kh0/eaglercraft-1.8,0,1.0,0,1,1,0.0,-0.9,0.0
OpenCubicChunks/CubicChunks3,0,32.0,8,1,2,0.0,-3.45,5.0
GOLDILOCKS-DBMS/IITP_TASK,0,0.0,0,1,0,0.0,1.0,1.0
crystoll/musashi,0,0.0,0,1,0,0.0,1.0,0.0
AHUCodingBeast/Waiting-Batch-Bus,0,0.0,0,1,0,0.0,1.0,0.0
abhishekabhi789/LyricsForPowerAmp,11,2.0,3,1,0,0.0,1.0,0.0
LekKit/ScalarEvolution,0,0.0,3,1,2,1.0,-0.2,0.0
ShafiqSadat/IPTVTelegramBot,1,0.0,0,1,0,0.0,1.0,0.0
miliariadnane/spring-boot-doc-rag-bot,0,0.0,0,1,0,0.0,1.0,0.0
15911075183ma/java-onnx-yolo,0,0.0,0,1,0,0.0,1.0,0.0
sasmithx/Chat_Application_Socket_Progrmming,0,0.0,0,1,0,0.0,1.0,0.0
w1th4d/JarPlant,0,12.0,0,1,0,0.0,1.0,0.0
xu-shawn/Serendipity,6,142.0,0,377,0,0.0,1.0,3.0
JAgentSphere/bytebuddy-agent-demo,4,0.0,2,3,0,0.0,1.0,0.0
wisemapping/wisemapping-open-source,0,1.0,8,2,1,0.0,-0.65,42.0
sjrsjz/vulkanite-modified,1,0.0,2,1,1,0.0,-0.9,0.0
HaHaWTH/AdvancedSensitiveWords,4,3.0,0,3,1,0.0,-0.15,0.0
SnowCutieOwO/Continue,0,2.0,0,1,0,0.0,1.0,0.0
Shawnarun/DevelopersStack-OpenSourceNexus,0,94.0,0,2,0,0.0,1.0,2.0
Gameye98/xtrspc,1,0.0,0,1,0,0.0,1.0,0.0
MemoryZy/ZhiYouToolkit,4,0.0,1,4,2,0.0,-2.7,0.0
uladzimirFilipchanka/noredraw,2,7.0,0,8,0,0.0,1.0,0.0
eaglerforge/EaglerForge-old,0,16.0,6,4,0,0.0,1.0,0.0
habuma/spring-ai-rag-example,0,0.0,0,1,0,0.0,1.0,0.0
mssanamateen/OOP-using-Java,0,27.0,0,3,0,0.0,1.0,0.0
artsiomkorzun/1brc-walkthrough,0,0.0,0,1,0,0.0,1.0,2.0
SightStudio/jOOQ-inflearn,0,0.0,0,1,0,0.0,1.0,332.0
tony-xlh/vision-camera-cropper,6,1.0,4,2,0,0.0,1.0,0.0
SatvikNema/satchat,0,3.0,0,3,1,0.0,-0.65,0.0
linkedin/openhouse,0,258.0,10,22,3,0.0,-5.75,827.0
SpringBootCourses/cqrs-banking-app,0,33.0,5,7,1,0.0,-0.65,0.0
flynndi/quarkus-jimmer-extension,45,472.0,0,22,5,0.0,-9.1,127.0
BreweryTeam/BreweryX,39,40.0,12,5,3,1.0,-4.85,0.0
seifrajhi/Kubernetes-practical-exercises-Hands-on,0,41.0,0,76,19,0.0,-34.599999999999994,1.0
kafbat/kafka-ui,1,218.0,138,47,31,1.0,-44.0,317.0
daisukiKaffuChino/MomoQR,6,0.0,0,1,0,0.0,1.0,2.0
SSANJAY225/offline_device_finder,0,0.0,0,1,0,0.0,1.0,2.0
simasch/cqrs-meets-modern-java,0,0.0,0,2,0,0.0,1.0,5.0
Fatimakhan0/javalab,0,21.0,0,7,0,0.0,1.0,0.0
daylanbueno/auth-api,0,0.0,0,2,0,0.0,1.0,0.0
jzelAdmin2006/m306-TouGH-Vault-github-backupper,0,0.0,0,1,0,0.0,1.0,0.0
ArtformGames/BungeeAuthProxy,5,0.0,0,1,2,1.0,-2.55,0.0
Intelligent-CAT-Lab/CodeMind,0,2.0,0,3,0,0.0,1.0,0.0
brenoepics/at4j,4,48.0,2,8,5,1.0,-6.7,136.0
